time,gFx,gFy,gFz,
54:12.5,-0.09,-0.532,-0.654,0.848
54:12.5,-0.09,-0.532,-0.654,0.848
54:12.5,-0.145,-0.602,-0.643,0.893
54:12.5,-0.16,-0.582,-0.682,0.911
54:12.5,-0.117,-0.519,-0.776,0.941
54:12.5,-0.024,-0.497,-0.879,1.01
54:12.5,-0.024,-0.497,-0.879,1.01
54:12.5,0.032,-0.504,-0.882,1.016
54:12.5,0.076,-0.521,-0.916,1.057
54:12.5,0.126,-0.558,-0.926,1.088
54:12.6,0.145,-0.6,-0.873,1.069
54:12.6,0.102,-0.612,-0.827,1.034
54:12.6,0.056,-0.619,-0.808,1.019
54:12.6,0.039,-0.623,-0.839,1.046
54:12.6,0.044,-0.621,-0.903,1.097
54:12.6,0.035,-0.564,-1.034,1.178
54:12.6,0.035,-0.564,-1.034,1.178
54:12.6,0.016,-0.547,-1.05,1.184
54:12.6,0.018,-0.535,-0.998,1.132
54:12.6,0.018,-0.531,-0.904,1.049
54:12.7,0.004,-0.55,-0.801,0.972
54:12.7,0,-0.586,-0.731,0.937
54:12.7,0.003,-0.611,-0.72,0.944
54:12.7,0,-0.608,-0.741,0.959
54:12.7,-0.008,-0.58,-0.775,0.968
54:12.7,0.051,-0.589,-0.874,1.055
54:12.7,0.051,-0.589,-0.874,1.055
54:12.7,0.051,-0.589,-0.874,1.055
54:12.7,0.07,-0.585,-0.859,1.042
54:12.7,0.053,-0.575,-0.825,1.007
54:12.8,0.015,-0.576,-0.819,1.001
54:12.8,0.023,-0.547,-0.792,0.963
54:12.8,0.01,-0.547,-0.786,0.958
54:12.8,0.006,-0.576,-0.814,0.997
54:12.8,0.03,-0.592,-0.832,1.022
54:12.8,0.038,-0.597,-0.822,1.017
54:12.8,0.025,-0.593,-0.79,0.988
54:12.8,0.025,-0.593,-0.79,0.988
54:12.8,0.029,-0.583,-0.788,0.981
54:12.9,0.027,-0.56,-0.783,0.963
54:12.9,0.023,-0.545,-0.775,0.948
54:12.9,0.024,-0.516,-0.765,0.923
54:12.9,0.044,-0.481,-0.74,0.884
54:12.9,0.083,-0.467,-0.689,0.836
54:12.9,0.11,-0.49,-0.647,0.819
54:12.9,-0.046,-0.302,-0.541,0.621
54:12.9,-0.046,-0.302,-0.541,0.621
54:12.9,-0.046,-0.302,-0.541,0.621
54:12.9,-0.126,-0.207,-0.471,0.53
54:12.9,-0.223,-0.186,-0.466,0.549
54:13.0,-0.285,-0.239,-0.552,0.666
54:13.0,-0.181,-0.324,-0.594,0.7
54:13.0,0.054,-0.355,-0.587,0.688
54:13.0,0.311,-0.382,-0.577,0.759
54:13.0,0.38,-0.391,-0.629,0.832
54:13.0,0.346,-0.254,-0.813,0.919
54:13.0,0.173,-0.137,-1.034,1.057
54:13.0,0.173,-0.137,-1.034,1.057
54:13.0,0.208,-0.138,-0.761,0.801
54:13.1,0.359,-0.381,-0.467,0.702
54:13.1,0.455,-0.689,-0.427,0.93
54:13.1,0.46,-0.792,-0.578,1.083
54:13.1,0.394,-0.673,-0.753,1.084
54:13.1,0.293,-0.52,-0.752,0.96
54:13.1,0.246,-0.462,-0.534,0.748
54:13.1,0.489,-0.582,-0.428,0.872
54:13.1,0.489,-0.582,-0.428,0.872
54:13.1,0.489,-0.582,-0.428,0.872
54:13.1,0.5,-0.542,-0.67,0.996
54:13.2,0.555,-0.51,-0.987,1.242
54:13.2,0.688,-0.592,-1.146,1.462
54:13.2,0.93,-0.841,-1.196,1.733
54:13.2,1.128,-0.944,-1.215,1.908
54:13.2,1.163,-1.026,-1.185,1.952
54:13.2,1.057,-0.939,-1.04,1.755
54:13.2,0.748,-0.73,-0.62,1.215
54:13.2,0.748,-0.73,-0.62,1.215
54:13.2,0.748,-0.73,-0.62,1.215
54:13.2,0.632,-0.565,-0.541,1.006
54:13.3,0.486,-0.417,-0.406,0.758
54:13.3,0.412,-0.313,-0.362,0.631
54:13.3,0.4,-0.156,-0.428,0.606
54:13.3,0.375,0.031,-0.48,0.61
54:13.3,0.351,0.196,-0.442,0.597
54:13.3,0.388,0.263,-0.331,0.574
54:13.3,0.75,0.062,-0.372,0.839
54:13.3,0.75,0.062,-0.372,0.839
54:13.3,0.75,0.062,-0.372,0.839
54:13.3,0.902,-0.059,-0.334,0.964
