time,gFx,gFy,gFz
2022-10-12 16:54:12.4660,-0.09,-0.532,-0.654,0.848
2022-10-12 16:54:12.4660,-0.09,-0.532,-0.654,0.848
2022-10-12 16:54:12.4750,-0.145,-0.602,-0.643,0.893
2022-10-12 16:54:12.4860,-0.16,-0.582,-0.682,0.911
2022-10-12 16:54:12.4960,-0.117,-0.519,-0.776,0.941
2022-10-12 16:54:12.5170,-0.024,-0.497,-0.879,1.01
2022-10-12 16:54:12.5170,-0.024,-0.497,-0.879,1.01
2022-10-12 16:54:12.5260,0.032,-0.504,-0.882,1.016
2022-10-12 16:54:12.5360,0.076,-0.521,-0.916,1.057
2022-10-12 16:54:12.5460,0.126,-0.558,-0.926,1.088
2022-10-12 16:54:12.5560,0.145,-0.6,-0.873,1.069
2022-10-12 16:54:12.5660,0.102,-0.612,-0.827,1.034
2022-10-12 16:54:12.5760,0.056,-0.619,-0.808,1.019
2022-10-12 16:54:12.5870,0.039,-0.623,-0.839,1.046
2022-10-12 16:54:12.5960,0.044,-0.621,-0.903,1.097
2022-10-12 16:54:12.6210,0.035,-0.564,-1.034,1.178
2022-10-12 16:54:12.6210,0.035,-0.564,-1.034,1.178
2022-10-12 16:54:12.6270,0.016,-0.547,-1.05,1.184
2022-10-12 16:54:12.6370,0.018,-0.535,-0.998,1.132
2022-10-12 16:54:12.6470,0.018,-0.531,-0.904,1.049
2022-10-12 16:54:12.6570,0.004,-0.55,-0.801,0.972
2022-10-12 16:54:12.6670,0.0,-0.586,-0.731,0.937
2022-10-12 16:54:12.6770,0.003,-0.611,-0.72,0.944
2022-10-12 16:54:12.6880,0.0,-0.608,-0.741,0.959
2022-10-12 16:54:12.6980,-0.008,-0.58,-0.775,0.968
2022-10-12 16:54:12.7280,0.051,-0.589,-0.874,1.055
2022-10-12 16:54:12.7280,0.051,-0.589,-0.874,1.055
2022-10-12 16:54:12.7290,0.051,-0.589,-0.874,1.055
2022-10-12 16:54:12.7380,0.07,-0.585,-0.859,1.042
2022-10-12 16:54:12.7480,0.053,-0.575,-0.825,1.007
2022-10-12 16:54:12.7580,0.015,-0.576,-0.819,1.001
2022-10-12 16:54:12.7680,0.023,-0.547,-0.792,0.963
2022-10-12 16:54:12.7780,0.01,-0.547,-0.786,0.958
2022-10-12 16:54:12.7880,0.006,-0.576,-0.814,0.997
2022-10-12 16:54:12.7980,0.03,-0.592,-0.832,1.022
2022-10-12 16:54:12.8110,0.038,-0.597,-0.822,1.017
2022-10-12 16:54:12.8350,0.025,-0.593,-0.79,0.988
2022-10-12 16:54:12.8360,0.025,-0.593,-0.79,0.988
2022-10-12 16:54:12.8380,0.029,-0.583,-0.788,0.981
2022-10-12 16:54:12.8560,0.027,-0.56,-0.783,0.963
2022-10-12 16:54:12.8590,0.023,-0.545,-0.775,0.948
2022-10-12 16:54:12.8700,0.024,-0.516,-0.765,0.923
2022-10-12 16:54:12.8790,0.044,-0.481,-0.74,0.884
2022-10-12 16:54:12.8890,0.083,-0.467,-0.689,0.836
2022-10-12 16:54:12.8990,0.11,-0.49,-0.647,0.819
2022-10-12 16:54:12.9370,-0.046,-0.302,-0.541,0.621
2022-10-12 16:54:12.9370,-0.046,-0.302,-0.541,0.621
2022-10-12 16:54:12.9370,-0.046,-0.302,-0.541,0.621
2022-10-12 16:54:12.9390,-0.126,-0.207,-0.471,0.53
2022-10-12 16:54:12.9490,-0.223,-0.186,-0.466,0.549
2022-10-12 16:54:12.9600,-0.285,-0.239,-0.552,0.666
2022-10-12 16:54:12.9700,-0.181,-0.324,-0.594,0.7
2022-10-12 16:54:12.9800,0.054,-0.355,-0.587,0.688
2022-10-12 16:54:12.9900,0.311,-0.382,-0.577,0.759
2022-10-12 16:54:13.0000,0.38,-0.391,-0.629,0.832
2022-10-12 16:54:13.0140,0.346,-0.254,-0.813,0.919
2022-10-12 16:54:13.0360,0.173,-0.137,-1.034,1.057
2022-10-12 16:54:13.0360,0.173,-0.137,-1.034,1.057
2022-10-12 16:54:13.0400,0.208,-0.138,-0.761,0.801
2022-10-12 16:54:13.0560,0.359,-0.381,-0.467,0.702
2022-10-12 16:54:13.0600,0.455,-0.689,-0.427,0.93
2022-10-12 16:54:13.0710,0.46,-0.792,-0.578,1.083
2022-10-12 16:54:13.0810,0.394,-0.673,-0.753,1.084
2022-10-12 16:54:13.0910,0.293,-0.52,-0.752,0.96
2022-10-12 16:54:13.1010,0.246,-0.462,-0.534,0.748
2022-10-12 16:54:13.1350,0.489,-0.582,-0.428,0.872
2022-10-12 16:54:13.1350,0.489,-0.582,-0.428,0.872
2022-10-12 16:54:13.1350,0.489,-0.582,-0.428,0.872
2022-10-12 16:54:13.1410,0.5,-0.542,-0.67,0.996
2022-10-12 16:54:13.1510,0.555,-0.51,-0.987,1.242
2022-10-12 16:54:13.1610,0.688,-0.592,-1.146,1.462
2022-10-12 16:54:13.1720,0.93,-0.841,-1.196,1.733
2022-10-12 16:54:13.1820,1.128,-0.944,-1.215,1.908
2022-10-12 16:54:13.1920,1.163,-1.026,-1.185,1.952
2022-10-12 16:54:13.2020,1.057,-0.939,-1.04,1.755
2022-10-12 16:54:13.2360,0.748,-0.73,-0.62,1.215
2022-10-12 16:54:13.2370,0.748,-0.73,-0.62,1.215
2022-10-12 16:54:13.2370,0.748,-0.73,-0.62,1.215
2022-10-12 16:54:13.2420,0.632,-0.565,-0.541,1.006
2022-10-12 16:54:13.2520,0.486,-0.417,-0.406,0.758
2022-10-12 16:54:13.2620,0.412,-0.313,-0.362,0.631
2022-10-12 16:54:13.2720,0.4,-0.156,-0.428,0.606
2022-10-12 16:54:13.2830,0.375,0.031,-0.48,0.61
2022-10-12 16:54:13.2930,0.351,0.196,-0.442,0.597
2022-10-12 16:54:13.3030,0.388,0.263,-0.331,0.574
2022-10-12 16:54:13.3400,0.75,0.062,-0.372,0.839
2022-10-12 16:54:13.3410,0.75,0.062,-0.372,0.839
2022-10-12 16:54:13.3410,0.75,0.062,-0.372,0.839
2022-10-12 16:54:13.3420,0.902,-0.059,-0.334,0.964
2022-10-12 16:54:13.3530,0.997,-0.129,-0.237,1.033
2022-10-12 16:54:13.3630,1.059,-0.184,-0.151,1.085
2022-10-12 16:54:13.3730,1.053,-0.229,-0.124,1.085
2022-10-12 16:54:13.3830,1.047,-0.279,-0.154,1.094
2022-10-12 16:54:13.3940,1.069,-0.336,-0.258,1.15
2022-10-12 16:54:13.4040,1.169,-0.405,-0.401,1.301
2022-10-12 16:54:13.4400,1.344,-0.441,-0.479,1.493
2022-10-12 16:54:13.4410,1.344,-0.441,-0.479,1.493
2022-10-12 16:54:13.4410,1.344,-0.441,-0.479,1.493
2022-10-12 16:54:13.4440,1.365,-0.265,-0.824,1.616
2022-10-12 16:54:13.4540,0.997,0.489,-2.748,2.964
2022-10-12 16:54:13.4640,0.982,-0.448,0.693,1.283
2022-10-12 16:54:13.4740,1.526,-0.016,-1.018,1.834
2022-10-12 16:54:13.4840,1.205,-0.202,-0.606,1.364
2022-10-12 16:54:13.4940,1.189,0.045,-0.361,1.243
2022-10-12 16:54:13.5040,1.063,0.23,-0.682,1.284
2022-10-12 16:54:13.5410,0.568,0.86,-0.652,1.22
2022-10-12 16:54:13.5410,0.568,0.86,-0.652,1.22
2022-10-12 16:54:13.5420,0.568,0.86,-0.652,1.22
2022-10-12 16:54:13.5440,0.517,0.772,-0.623,1.119
2022-10-12 16:54:13.5550,0.534,0.546,-0.458,0.891
2022-10-12 16:54:13.5640,0.457,0.629,-0.388,0.869
2022-10-12 16:54:13.5750,0.507,0.582,-0.215,0.801
2022-10-12 16:54:13.5850,0.421,0.301,0.183,0.549
2022-10-12 16:54:13.5970,0.462,0.111,0.141,0.496
2022-10-12 16:54:13.6050,0.726,0.001,0.28,0.778
2022-10-12 16:54:13.6430,0.603,-0.067,-0.056,0.609
2022-10-12 16:54:13.6430,0.603,-0.067,-0.056,0.609
2022-10-12 16:54:13.6430,0.603,-0.067,-0.056,0.609
2022-10-12 16:54:13.6450,0.444,-0.269,-0.035,0.52
2022-10-12 16:54:13.6550,1.301,-0.168,-0.715,1.494
2022-10-12 16:54:13.6650,2.99,0.16,-0.969,3.147
