"Segment","Latitude","Longitude","Altitude (m)","Time (UTC ISO)","Time (UTC)","Time (Local)","UNIX Epoch Time"
1,"53.345347229877554","-6.256383896606245","4.885847568511963","2022-10-12T15:54:12.089Z","2022-10-12 15:54:12.089","2022-10-12 16:54:12.089","1665590052.0891476"
1,"53.34533978359482","-6.256398246813394","4.876404285430908","2022-10-12T15:54:16.145Z","2022-10-12 15:54:16.145","2022-10-12 16:54:16.145","1665590056.1452851"
1,"53.34533677211781","-6.256457852381027","4.818296909332275","2022-10-12T15:54:17.089Z","2022-10-12 15:54:17.089","2022-10-12 16:54:17.089","1665590057.089322"
1,"53.34534131811437","-6.256475775373647","4.818150520324707","2022-10-12T15:54:18.089Z","2022-10-12 15:54:18.089","2022-10-12 16:54:18.089","1665590058.0893517"
1,"53.34534441904557","-6.256483916254526","4.808807849884033","2022-10-12T15:54:19.089Z","2022-10-12 15:54:19.089","2022-10-12 16:54:19.089","1665590059.0893946"
1,"53.345344853317734","-6.256491365217393","4.800406455993652","2022-10-12T15:54:21.000Z","2022-10-12 15:54:21.000","2022-10-12 16:54:21.000","1665590061.0004506"
1,"53.345342155240004","-6.256501981483495","4.792164325714111","2022-10-12T15:54:22.000Z","2022-10-12 15:54:22.000","2022-10-12 16:54:22.000","1665590062.000494"
1,"53.34534468705718","-6.256514966385431","4.785922050476074","2022-10-12T15:54:23.001Z","2022-10-12 15:54:23.001","2022-10-12 16:54:23.001","1665590063.0005229"
1,"53.34534321240696","-6.256525838028301","4.777023792266846","2022-10-12T15:54:24.001Z","2022-10-12 15:54:24.001","2022-10-12 16:54:24.001","1665590064.0005674"
1,"53.34533809360053","-6.2565330175792715","4.768838405609131","2022-10-12T15:54:25.001Z","2022-10-12 15:54:25.001","2022-10-12 16:54:25.001","1665590065.0006018"
1,"53.34533435157703","-6.256542529007429","4.764713764190674","2022-10-12T15:54:26.001Z","2022-10-12 15:54:26.001","2022-10-12 16:54:26.001","1665590066.0006409"
1,"53.34533580341245","-6.25656482598366","4.7622551918029785","2022-10-12T15:54:27.001Z","2022-10-12 15:54:27.001","2022-10-12 16:54:27.001","1665590067.0006719"
1,"53.345335969595226","-6.256571333261385","4.754088878631592","2022-10-12T15:54:28.001Z","2022-10-12 15:54:28.001","2022-10-12 16:54:28.001","1665590068.0007148"
1,"53.34534087214842","-6.25658311288242","4.74653959274292","2022-10-12T15:54:29.001Z","2022-10-12 15:54:29.001","2022-10-12 16:54:29.001","1665590069.000743"
1,"53.34534139951097","-6.25659445453744","4.734410285949707","2022-10-12T15:54:30.001Z","2022-10-12 15:54:30.001","2022-10-12 16:54:30.001","1665590070.000771"
1,"53.34534570855245","-6.256615128781996","4.7224860191345215","2022-10-12T15:54:31.001Z","2022-10-12 15:54:31.001","2022-10-12 16:54:31.001","1665590071.0007987"
1,"53.34535121236637","-6.2566440649607005","4.7045769691467285","2022-10-12T15:54:32.001Z","2022-10-12 15:54:32.001","2022-10-12 16:54:32.001","1665590072.0008266"
1,"53.345355744155825","-6.256682731011315","4.677586078643799","2022-10-12T15:54:33.001Z","2022-10-12 15:54:33.001","2022-10-12 16:54:33.001","1665590073.0008576"
1,"53.345368364728216","-6.2567559057334385","4.65185022354126","2022-10-12T15:54:34.001Z","2022-10-12 15:54:34.001","2022-10-12 16:54:34.001","1665590074.0008845"
1,"53.34538056905841","-6.256804000591768","4.6494550704956055","2022-10-12T15:54:35.001Z","2022-10-12 15:54:35.001","2022-10-12 16:54:35.001","1665590075.0009136"
1,"53.34537909838042","-6.2568392747481205","4.660898685455322","2022-10-12T15:54:36.001Z","2022-10-12 15:54:36.001","2022-10-12 16:54:36.001","1665590076.0009425"
1,"53.345365681523944","-6.2568851354466934","4.685897350311279","2022-10-12T15:54:37.001Z","2022-10-12 15:54:37.001","2022-10-12 16:54:37.001","1665590077.0009708"
1,"53.34534541270297","-6.256922781645724","4.727127552032471","2022-10-12T15:54:38.001Z","2022-10-12 15:54:38.001","2022-10-12 16:54:38.001","1665590078.001"
1,"53.34533495709923","-6.256967019582052","4.771855354309082","2022-10-12T15:54:39.001Z","2022-10-12 15:54:39.001","2022-10-12 16:54:39.001","1665590079.0010285"
1,"53.34532186407317","-6.257027384535225","4.808102607727051","2022-10-12T15:54:40.001Z","2022-10-12 15:54:40.001","2022-10-12 16:54:40.001","1665590080.0010576"
1,"53.345316715063454","-6.257062602162777","4.8315749168396","2022-10-12T15:54:41.001Z","2022-10-12 15:54:41.001","2022-10-12 16:54:41.001","1665590081.0010877"
1,"53.345309224438815","-6.257059960038928","4.846315860748291","2022-10-12T15:54:42.001Z","2022-10-12 15:54:42.001","2022-10-12 16:54:42.001","1665590082.0011163"
1,"53.34529052969515","-6.257090299478234","4.855532169342041","2022-10-12T15:54:43.001Z","2022-10-12 15:54:43.001","2022-10-12 16:54:43.001","1665590083.0011454"
1,"53.345272198579735","-6.257119388851215","4.861287593841553","2022-10-12T15:54:44.001Z","2022-10-12 15:54:44.001","2022-10-12 16:54:44.001","1665590084.001174"
